Capital,Time
101000.0,2024-12-02 01:30:00+00:00
100000.0,2024-12-03 07:15:00+00:00
101000.0,2024-12-03 13:45:00+00:00
100000.0,2024-12-05 15:15:00+00:00
101000.0,2024-12-05 22:15:00+00:00
100000.0,2024-12-07 06:45:00+00:00
101000.0,2024-12-08 04:00:00+00:00
102000.0,2024-12-09 20:30:00+00:00
103000.0,2024-12-11 11:15:00+00:00
105292.91873430154,2024-12-18 14:45:00+00:00
104292.91873430154,2024-12-18 18:30:00+00:00
103292.91873430154,2024-12-23 03:15:00+00:00
102292.91873430154,2024-12-24 10:00:00+00:00
101292.91873430154,2024-12-24 13:15:00+00:00
101901.99159290642,2024-12-25 05:30:00+00:00
100901.99159290642,2024-12-25 10:15:00+00:00
101901.99159290642,2024-12-26 07:30:00+00:00
100901.99159290642,2024-12-27 14:00:00+00:00
101901.99159290642,2024-12-28 14:00:00+00:00
102901.99159290642,2025-01-02 09:45:00+00:00
101901.99159290642,2025-01-03 07:00:00+00:00
102901.99159290642,2025-01-03 11:30:00+00:00
101901.99159290642,2025-01-04 15:30:00+00:00
100901.99159290642,2025-01-06 01:00:00+00:00
99901.99159290642,2025-01-06 01:45:00+00:00
100901.99159290642,2025-01-06 16:00:00+00:00
99901.99159290642,2025-01-08 14:30:00+00:00
98901.99159290642,2025-01-10 05:30:00+00:00
99901.99159290642,2025-01-11 20:45:00+00:00
98901.99159290642,2025-01-12 07:00:00+00:00
99901.99159290642,2025-01-13 05:45:00+00:00
100901.99159290642,2025-01-15 13:30:00+00:00
101901.99159290642,2025-01-17 08:00:00+00:00
102901.99159290642,2025-01-18 01:00:00+00:00
103901.99159290642,2025-01-24 20:45:00+00:00
102901.99159290642,2025-01-25 15:00:00+00:00
103901.99159290642,2025-01-28 04:30:00+00:00
105918.7303993599,2025-02-01 14:45:00+00:00
106918.7303993599,2025-02-01 19:15:00+00:00
107918.7303993599,2025-02-02 03:45:00+00:00
108918.7303993599,2025-02-02 16:45:00+00:00
109918.7303993599,2025-02-06 06:45:00+00:00
110918.7303993599,2025-02-07 13:30:00+00:00
111686.54746694845,2025-02-08 13:15:00+00:00
112686.54746694845,2025-02-08 17:30:00+00:00
113686.54746694845,2025-02-09 21:30:00+00:00
112686.54746694845,2025-02-10 03:30:00+00:00
113686.54746694845,2025-02-14 08:00:00+00:00
114686.54746694845,2025-02-14 17:30:00+00:00
115686.54746694845,2025-02-16 14:00:00+00:00
114686.54746694845,2025-02-17 04:15:00+00:00
115686.54746694845,2025-02-18 06:00:00+00:00
114686.54746694845,2025-02-20 14:00:00+00:00
113686.54746694845,2025-02-20 20:15:00+00:00
114686.54746694845,2025-02-24 02:15:00+00:00
115686.54746694845,2025-02-24 15:00:00+00:00
116686.54746694845,2025-02-26 18:30:00+00:00
117686.54746694845,2025-03-09 06:00:00+00:00
118686.54746694845,2025-03-10 09:15:00+00:00
118445.73771930017,2025-03-13 05:30:00+00:00
117445.73771930017,2025-03-13 09:45:00+00:00
116445.73771930017,2025-03-14 13:45:00+00:00
117445.73771930017,2025-03-15 13:30:00+00:00
116445.73771930017,2025-03-16 01:30:00+00:00
116622.78476935648,2025-03-16 09:15:00+00:00
117622.78476935648,2025-03-16 11:00:00+00:00
116622.78476935648,2025-03-17 00:45:00+00:00
117622.78476935648,2025-03-20 00:00:00+00:00
118622.78476935648,2025-03-24 08:45:00+00:00
119622.78476935648,2025-03-26 07:15:00+00:00
118622.78476935648,2025-03-28 01:30:00+00:00
119622.78476935648,2025-03-28 04:30:00+00:00
119969.2030045127,2025-03-30 21:45:00+00:00
120969.2030045127,2025-03-30 22:15:00+00:00
121969.2030045127,2025-04-01 08:00:00+00:00
122261.91811865655,2025-04-01 20:15:00+00:00
121261.91811865655,2025-04-01 22:30:00+00:00
120261.91811865655,2025-04-02 01:00:00+00:00
119261.91811865655,2025-04-02 20:15:00+00:00
120261.91811865655,2025-04-03 10:30:00+00:00
121261.91811865655,2025-04-05 13:45:00+00:00
121010.40135073531,2025-04-08 11:15:00+00:00
122010.40135073531,2025-04-08 11:45:00+00:00
123010.40135073531,2025-04-10 15:30:00+00:00
124010.40135073531,2025-04-12 15:15:00+00:00
124962.71417584791,2025-04-15 12:15:00+00:00
123962.71417584791,2025-04-15 13:45:00+00:00
122962.71417584791,2025-04-16 14:30:00+00:00
122985.40189539938,2025-04-21 00:15:00+00:00
123985.40189539938,2025-04-21 02:15:00+00:00
122985.40189539938,2025-04-22 01:15:00+00:00
121985.40189539938,2025-04-23 13:45:00+00:00
122985.40189539938,2025-04-24 02:45:00+00:00
123985.40189539938,2025-04-25 14:45:00+00:00
122985.40189539938,2025-04-27 01:15:00+00:00
123985.40189539938,2025-04-29 21:15:00+00:00
124509.9413459046,2025-05-02 02:45:00+00:00
123509.9413459046,2025-05-02 05:15:00+00:00
122509.9413459046,2025-05-05 22:30:00+00:00
123509.9413459046,2025-05-06 11:45:00+00:00
122509.9413459046,2025-05-12 00:30:00+00:00
123509.9413459046,2025-05-13 02:15:00+00:00
124509.9413459046,2025-05-17 01:00:00+00:00
125509.9413459046,2025-05-17 16:45:00+00:00
126509.9413459046,2025-05-18 05:45:00+00:00
127509.9413459046,2025-05-21 03:00:00+00:00
128509.9413459046,2025-05-21 23:15:00+00:00
129509.9413459046,2025-05-23 11:45:00+00:00
130509.9413459046,2025-05-25 00:30:00+00:00
131509.9413459046,2025-05-28 02:15:00+00:00
132509.9413459046,2025-05-28 19:30:00+00:00
133509.9413459046,2025-05-30 16:15:00+00:00
134509.9413459046,2025-06-01 09:45:00+00:00
133509.9413459046,2025-06-02 03:15:00+00:00
132509.9413459046,2025-06-02 15:15:00+00:00
131509.9413459046,2025-06-02 19:30:00+00:00
132509.9413459046,2025-06-08 09:15:00+00:00
133509.9413459046,2025-06-09 21:00:00+00:00
132509.9413459046,2025-06-11 17:45:00+00:00
133509.9413459046,2025-06-12 20:45:00+00:00
134509.9413459046,2025-06-17 14:45:00+00:00
133509.9413459046,2025-06-26 05:30:00+00:00
132509.9413459046,2025-06-27 13:15:00+00:00
131509.9413459046,2025-06-28 01:45:00+00:00
130509.9413459046,2025-07-01 04:45:00+00:00
