Capital,Time
99000.0,2024-12-01 20:00:00+00:00
98000.0,2024-12-02 03:45:00+00:00
99000.0,2024-12-05 20:15:00+00:00
100000.0,2024-12-09 20:00:00+00:00
99000.0,2024-12-18 19:00:00+00:00
100000.0,2024-12-18 20:00:00+00:00
99000.0,2024-12-21 12:30:00+00:00
98000.0,2024-12-23 14:45:00+00:00
97000.0,2024-12-23 16:45:00+00:00
98000.0,2024-12-24 15:15:00+00:00
99000.0,2024-12-25 10:15:00+00:00
98000.0,2024-12-27 14:30:00+00:00
99000.0,2024-12-28 14:00:00+00:00
98000.0,2025-01-03 13:15:00+00:00
99000.0,2025-01-08 17:00:00+00:00
100000.0,2025-01-09 20:00:00+00:00
99000.0,2025-01-11 21:15:00+00:00
100000.0,2025-01-15 13:30:00+00:00
99000.0,2025-01-16 16:00:00+00:00
98000.0,2025-01-17 01:30:00+00:00
99000.0,2025-01-22 18:45:00+00:00
98000.0,2025-01-25 14:45:00+00:00
97000.0,2025-01-28 15:30:00+00:00
96000.0,2025-01-31 03:15:00+00:00
95000.0,2025-01-31 06:45:00+00:00
96000.0,2025-02-02 16:30:00+00:00
97000.0,2025-02-09 03:30:00+00:00
98000.0,2025-02-09 21:30:00+00:00
97000.0,2025-02-11 13:30:00+00:00
98000.0,2025-02-12 13:15:00+00:00
99000.0,2025-02-18 06:00:00+00:00
98000.0,2025-02-20 14:45:00+00:00
99000.0,2025-02-21 09:15:00+00:00
98000.0,2025-02-24 01:00:00+00:00
99000.0,2025-02-26 18:15:00+00:00
100000.0,2025-02-27 20:45:00+00:00
101000.0,2025-03-05 09:00:00+00:00
102000.0,2025-03-07 14:45:00+00:00
103000.0,2025-03-10 09:15:00+00:00
102000.0,2025-03-14 07:30:00+00:00
103000.0,2025-03-17 12:30:00+00:00
102000.0,2025-03-24 03:15:00+00:00
103000.0,2025-03-25 01:30:00+00:00
102000.0,2025-03-26 08:00:00+00:00
103000.0,2025-03-27 13:30:00+00:00
104000.0,2025-03-28 04:30:00+00:00
103000.0,2025-03-29 07:45:00+00:00
102000.0,2025-03-30 22:30:00+00:00
103000.0,2025-04-01 06:30:00+00:00
102000.0,2025-04-02 05:00:00+00:00
101000.0,2025-04-02 13:45:00+00:00
102000.0,2025-04-02 20:15:00+00:00
103000.0,2025-04-03 12:30:00+00:00
104000.0,2025-04-05 13:00:00+00:00
105000.0,2025-04-08 16:30:00+00:00
105574.18755842968,2025-04-13 11:30:00+00:00
106574.18755842968,2025-04-13 13:45:00+00:00
107574.18755842968,2025-04-14 10:15:00+00:00
106574.18755842968,2025-04-15 14:15:00+00:00
107574.18755842968,2025-04-15 22:45:00+00:00
108574.18755842968,2025-04-21 00:15:00+00:00
109574.18755842968,2025-04-22 00:30:00+00:00
110574.18755842968,2025-04-22 07:30:00+00:00
111574.18755842968,2025-04-24 08:15:00+00:00
112574.18755842968,2025-04-26 08:15:00+00:00
111574.18755842968,2025-04-26 08:45:00+00:00
112574.18755842968,2025-04-26 22:15:00+00:00
113574.18755842968,2025-04-28 00:15:00+00:00
114574.18755842968,2025-04-29 23:00:00+00:00
115574.18755842968,2025-05-04 23:30:00+00:00
114574.18755842968,2025-05-06 01:00:00+00:00
113574.18755842968,2025-05-07 12:30:00+00:00
114574.18755842968,2025-05-10 07:45:00+00:00
113574.18755842968,2025-05-11 19:30:00+00:00
112574.18755842968,2025-05-13 09:45:00+00:00
113574.18755842968,2025-05-15 00:15:00+00:00
114574.18755842968,2025-05-16 10:45:00+00:00
114782.17583455768,2025-05-18 04:30:00+00:00
115782.17583455768,2025-05-18 05:45:00+00:00
116782.17583455768,2025-05-18 15:30:00+00:00
117782.17583455768,2025-05-23 02:15:00+00:00
118782.17583455768,2025-05-30 16:30:00+00:00
119782.17583455768,2025-05-31 01:30:00+00:00
120782.17583455768,2025-06-01 01:45:00+00:00
121782.17583455768,2025-06-01 12:30:00+00:00
120782.17583455768,2025-06-02 03:00:00+00:00
121782.17583455768,2025-06-05 16:45:00+00:00
122782.17583455768,2025-06-11 00:00:00+00:00
123782.17583455768,2025-06-12 20:30:00+00:00
122782.17583455768,2025-06-13 18:15:00+00:00
121782.17583455768,2025-06-14 15:30:00+00:00
122782.17583455768,2025-06-16 20:45:00+00:00
123782.17583455768,2025-06-17 14:45:00+00:00
122782.17583455768,2025-06-18 20:45:00+00:00
128397.76996819333,2025-06-22 09:45:00+00:00
127397.76996819333,2025-06-22 12:00:00+00:00
128397.76996819333,2025-06-24 16:30:00+00:00
127397.76996819333,2025-06-27 04:30:00+00:00
