Capital,Time
101000.0,2024-12-03 06:30:00+00:00
101515.69160370163,2024-12-05 18:45:00+00:00
102515.69160370163,2024-12-05 22:15:00+00:00
103515.69160370163,2024-12-07 16:30:00+00:00
103962.51868910235,2024-12-08 08:00:00+00:00
104040.21382079957,2024-12-08 15:00:00+00:00
103040.21382079957,2024-12-08 16:00:00+00:00
104040.21382079957,2024-12-08 16:30:00+00:00
104675.15540993745,2024-12-12 19:15:00+00:00
105675.15540993745,2024-12-12 22:00:00+00:00
106675.15540993745,2024-12-13 14:30:00+00:00
107675.15540993745,2024-12-14 12:45:00+00:00
108675.15540993745,2024-12-18 03:45:00+00:00
107675.15540993745,2024-12-18 18:45:00+00:00
108675.15540993745,2024-12-18 20:00:00+00:00
107675.15540993745,2024-12-19 16:45:00+00:00
106675.15540993745,2024-12-23 03:00:00+00:00
107675.15540993745,2024-12-23 21:00:00+00:00
108675.15540993745,2024-12-24 13:45:00+00:00
109624.04508911194,2024-12-25 06:45:00+00:00
108624.04508911194,2024-12-25 10:15:00+00:00
109624.04508911194,2024-12-26 04:00:00+00:00
110624.04508911194,2024-12-27 09:00:00+00:00
109624.04508911194,2024-12-27 14:30:00+00:00
108624.04508911194,2024-12-31 01:00:00+00:00
109624.04508911194,2025-01-02 04:30:00+00:00
108624.04508911194,2025-01-06 08:30:00+00:00
109624.04508911194,2025-01-08 17:00:00+00:00
108624.04508911194,2025-01-10 07:00:00+00:00
109624.04508911194,2025-01-13 03:45:00+00:00
110624.04508911194,2025-01-19 07:00:00+00:00
111624.04508911194,2025-01-24 14:30:00+00:00
112624.04508911194,2025-01-28 12:45:00+00:00
113624.04508911194,2025-01-30 14:45:00+00:00
114624.04508911194,2025-02-02 16:30:00+00:00
115185.5714609005,2025-02-06 03:30:00+00:00
114185.5714609005,2025-02-06 11:15:00+00:00
115185.5714609005,2025-02-09 21:30:00+00:00
116185.5714609005,2025-02-11 01:30:00+00:00
115185.5714609005,2025-02-12 13:30:00+00:00
116185.5714609005,2025-02-14 08:00:00+00:00
115185.5714609005,2025-02-17 10:00:00+00:00
116185.5714609005,2025-02-18 05:30:00+00:00
116642.37169576513,2025-02-20 19:00:00+00:00
117642.37169576513,2025-02-21 09:00:00+00:00
116642.37169576513,2025-02-26 22:00:00+00:00
117642.37169576513,2025-02-27 20:45:00+00:00
116642.37169576513,2025-03-01 07:30:00+00:00
117642.37169576513,2025-03-01 10:15:00+00:00
118642.37169576513,2025-03-02 06:45:00+00:00
117642.37169576513,2025-03-04 14:30:00+00:00
118642.37169576513,2025-03-13 00:00:00+00:00
117642.37169576513,2025-03-13 12:45:00+00:00
118642.37169576513,2025-03-15 20:15:00+00:00
119642.37169576513,2025-03-18 23:15:00+00:00
118642.37169576513,2025-03-20 16:30:00+00:00
117642.37169576513,2025-03-21 23:30:00+00:00
118394.4835455089,2025-03-22 12:45:00+00:00
119394.4835455089,2025-03-22 23:00:00+00:00
118394.4835455089,2025-03-24 00:15:00+00:00
119394.4835455089,2025-03-24 05:30:00+00:00
120394.4835455089,2025-03-26 05:30:00+00:00
119394.4835455089,2025-03-27 11:15:00+00:00
120394.4835455089,2025-03-28 04:30:00+00:00
119394.4835455089,2025-03-29 03:00:00+00:00
119971.74938138615,2025-03-30 10:15:00+00:00
