Capital,Time
101000.0,2024-12-02 03:30:00+00:00
100000.0,2024-12-05 02:30:00+00:00
101000.0,2024-12-08 09:45:00+00:00
100000.0,2024-12-08 23:45:00+00:00
101000.0,2024-12-09 03:45:00+00:00
102000.0,2024-12-09 20:45:00+00:00
101000.0,2024-12-10 14:15:00+00:00
100000.0,2024-12-12 19:30:00+00:00
101000.0,2024-12-13 15:45:00+00:00
100000.0,2024-12-18 01:45:00+00:00
101000.0,2024-12-18 20:00:00+00:00
100000.0,2024-12-23 15:45:00+00:00
101000.0,2024-12-24 13:30:00+00:00
102000.0,2024-12-25 02:00:00+00:00
103000.0,2024-12-26 08:15:00+00:00
102000.0,2024-12-27 07:30:00+00:00
101000.0,2024-12-27 10:30:00+00:00
100000.0,2024-12-28 09:00:00+00:00
99000.0,2024-12-30 06:15:00+00:00
98000.0,2024-12-30 13:30:00+00:00
98789.54912367002,2025-01-03 05:00:00+00:00
99789.54912367002,2025-01-03 09:00:00+00:00
100789.54912367002,2025-01-06 12:15:00+00:00
101789.54912367002,2025-01-09 20:30:00+00:00
100789.54912367002,2025-01-11 21:15:00+00:00
101789.54912367002,2025-01-13 05:45:00+00:00
100789.54912367002,2025-01-15 11:15:00+00:00
101789.54912367002,2025-01-18 03:00:00+00:00
102789.54912367002,2025-01-22 13:15:00+00:00
103789.54912367002,2025-01-24 10:30:00+00:00
102789.54912367002,2025-01-29 19:30:00+00:00
103789.54912367002,2025-01-30 14:45:00+00:00
103983.11556565737,2025-02-02 16:30:00+00:00
104983.11556565737,2025-02-02 18:15:00+00:00
105983.11556565737,2025-02-07 12:30:00+00:00
106594.85585119967,2025-02-08 09:15:00+00:00
107594.85585119967,2025-02-08 17:45:00+00:00
108594.85585119967,2025-02-09 21:30:00+00:00
105966.89340367903,2025-02-12 11:15:00+00:00
104966.89340367903,2025-02-12 13:30:00+00:00
103966.89340367903,2025-02-15 00:30:00+00:00
104966.89340367903,2025-02-18 05:15:00+00:00
103966.89340367903,2025-02-19 00:15:00+00:00
104087.90213289064,2025-02-21 06:30:00+00:00
105087.90213289064,2025-02-21 09:15:00+00:00
106087.90213289064,2025-02-23 04:00:00+00:00
107087.90213289064,2025-02-24 01:30:00+00:00
108087.90213289064,2025-02-26 12:30:00+00:00
109087.90213289064,2025-02-26 18:45:00+00:00
110087.90213289064,2025-03-02 00:45:00+00:00
109087.90213289064,2025-03-07 16:45:00+00:00
108087.90213289064,2025-03-10 13:30:00+00:00
107087.90213289064,2025-03-13 05:30:00+00:00
106087.90213289064,2025-03-15 06:00:00+00:00
105087.90213289064,2025-03-16 07:00:00+00:00
104087.90213289064,2025-03-17 18:30:00+00:00
103087.90213289064,2025-03-21 18:30:00+00:00
102087.90213289064,2025-03-25 09:30:00+00:00
103087.90213289064,2025-03-29 22:45:00+00:00
104087.90213289064,2025-04-01 08:30:00+00:00
105087.90213289064,2025-04-05 13:00:00+00:00
104087.90213289064,2025-04-13 17:15:00+00:00
104414.54730269997,2025-04-15 04:45:00+00:00
105414.54730269997,2025-04-15 09:15:00+00:00
106414.54730269997,2025-04-15 22:45:00+00:00
105414.54730269997,2025-04-19 02:00:00+00:00
105341.0053038499,2025-04-24 02:45:00+00:00
106341.0053038499,2025-04-24 08:15:00+00:00
107341.0053038499,2025-04-25 12:00:00+00:00
108341.0053038499,2025-05-08 02:30:00+00:00
109341.0053038499,2025-05-09 07:45:00+00:00
108341.0053038499,2025-05-10 17:15:00+00:00
107341.0053038499,2025-05-11 06:45:00+00:00
106341.0053038499,2025-05-12 15:00:00+00:00
107341.0053038499,2025-05-12 18:45:00+00:00
108341.0053038499,2025-05-13 03:15:00+00:00
109341.0053038499,2025-05-14 17:15:00+00:00
110341.0053038499,2025-05-15 07:15:00+00:00
109341.0053038499,2025-05-16 16:30:00+00:00
110341.0053038499,2025-05-16 22:30:00+00:00
111341.0053038499,2025-05-17 22:30:00+00:00
112341.0053038499,2025-05-19 04:30:00+00:00
113341.0053038499,2025-05-21 23:15:00+00:00
112341.0053038499,2025-05-22 23:45:00+00:00
113341.0053038499,2025-05-23 09:00:00+00:00
114341.0053038499,2025-05-23 23:30:00+00:00
113341.0053038499,2025-05-24 10:30:00+00:00
112341.0053038499,2025-05-25 22:00:00+00:00
113341.0053038499,2025-05-27 01:15:00+00:00
114341.0053038499,2025-05-28 14:45:00+00:00
115341.0053038499,2025-05-30 14:00:00+00:00
116341.0053038499,2025-05-31 01:30:00+00:00
117341.0053038499,2025-06-02 01:00:00+00:00
118341.0053038499,2025-06-03 00:15:00+00:00
119341.0053038499,2025-06-03 14:45:00+00:00
120341.0053038499,2025-06-04 22:30:00+00:00
121341.0053038499,2025-06-05 19:15:00+00:00
122341.0053038499,2025-06-09 21:15:00+00:00
121341.0053038499,2025-06-11 12:30:00+00:00
120341.0053038499,2025-06-12 17:15:00+00:00
121341.0053038499,2025-06-12 20:30:00+00:00
120341.0053038499,2025-06-14 15:15:00+00:00
121341.0053038499,2025-06-16 01:45:00+00:00
122341.0053038499,2025-06-17 13:30:00+00:00
123230.30537778465,2025-06-18 04:00:00+00:00
124047.51154225663,2025-06-18 10:00:00+00:00
125047.51154225663,2025-06-18 10:45:00+00:00
126047.51154225663,2025-06-22 13:15:00+00:00
126440.84391109282,2025-06-24 11:00:00+00:00
125440.84391109282,2025-06-24 16:45:00+00:00
126440.84391109282,2025-06-25 13:30:00+00:00
127440.84391109282,2025-06-27 01:00:00+00:00
