Capital,Time
99000.0,2024-12-08 17:30:00+00:00
98000.0,2024-12-09 00:15:00+00:00
99000.0,2024-12-13 07:00:00+00:00
100000.0,2024-12-14 05:30:00+00:00
99000.0,2024-12-15 21:15:00+00:00
98000.0,2024-12-15 23:00:00+00:00
99000.0,2024-12-17 08:00:00+00:00
98000.0,2024-12-24 13:15:00+00:00
97000.0,2024-12-27 14:30:00+00:00
97933.3301821794,2024-12-28 07:15:00+00:00
98933.3301821794,2024-12-28 14:15:00+00:00
99933.3301821794,2024-12-30 13:30:00+00:00
100933.3301821794,2025-01-01 05:30:00+00:00
101933.3301821794,2025-01-03 03:45:00+00:00
102933.3301821794,2025-01-04 02:00:00+00:00
103874.22497024291,2025-01-04 07:30:00+00:00
104874.22497024291,2025-01-04 15:30:00+00:00
105451.11321682984,2025-01-10 05:30:00+00:00
104451.11321682984,2025-01-10 13:30:00+00:00
105451.11321682984,2025-01-11 10:45:00+00:00
106451.11321682984,2025-01-13 08:15:00+00:00
107451.11321682984,2025-01-14 17:15:00+00:00
108451.11321682984,2025-01-15 22:00:00+00:00
109451.11321682984,2025-01-16 11:00:00+00:00
108451.11321682984,2025-01-19 08:15:00+00:00
107451.11321682984,2025-01-22 23:00:00+00:00
106451.11321682984,2025-01-25 15:15:00+00:00
107451.11321682984,2025-01-28 12:15:00+00:00
106451.11321682984,2025-01-30 14:45:00+00:00
107451.11321682984,2025-01-31 18:45:00+00:00
107298.15713241251,2025-02-02 11:00:00+00:00
108298.15713241251,2025-02-02 11:45:00+00:00
109298.15713241251,2025-02-02 17:15:00+00:00
108298.15713241251,2025-02-07 06:30:00+00:00
109298.15713241251,2025-02-09 03:15:00+00:00
110298.15713241251,2025-02-09 21:30:00+00:00
109298.15713241251,2025-02-10 08:00:00+00:00
110210.51718396894,2025-02-12 09:45:00+00:00
109210.51718396894,2025-02-12 13:30:00+00:00
110210.51718396894,2025-02-13 21:15:00+00:00
111210.51718396894,2025-02-14 08:15:00+00:00
110210.51718396894,2025-02-15 14:30:00+00:00
111210.51718396894,2025-02-16 18:15:00+00:00
112210.51718396894,2025-02-18 06:00:00+00:00
113210.51718396894,2025-02-18 16:30:00+00:00
114210.51718396894,2025-02-19 11:45:00+00:00
113210.51718396894,2025-02-20 21:30:00+00:00
112210.51718396894,2025-02-21 14:30:00+00:00
112307.10193934006,2025-02-27 06:30:00+00:00
111307.10193934006,2025-02-27 15:00:00+00:00
112307.10193934006,2025-02-28 15:15:00+00:00
113307.10193934006,2025-03-01 22:00:00+00:00
114307.10193934006,2025-03-06 08:45:00+00:00
113307.10193934006,2025-03-10 01:00:00+00:00
114307.10193934006,2025-03-10 09:15:00+00:00
113307.10193934006,2025-03-10 10:15:00+00:00
114307.10193934006,2025-03-15 03:00:00+00:00
113307.10193934006,2025-03-16 00:00:00+00:00
112307.10193934006,2025-03-17 00:45:00+00:00
112777.36545805616,2025-03-17 09:15:00+00:00
111777.36545805616,2025-03-17 14:00:00+00:00
112777.36545805616,2025-03-18 13:30:00+00:00
113777.36545805616,2025-03-28 04:30:00+00:00
114777.36545805616,2025-03-29 03:00:00+00:00
113777.36545805616,2025-03-29 17:30:00+00:00
114777.36545805616,2025-03-30 01:30:00+00:00
115777.36545805616,2025-04-02 06:00:00+00:00
116777.36545805616,2025-04-03 12:30:00+00:00
117611.07726935118,2025-04-05 09:00:00+00:00
118611.07726935118,2025-04-05 10:30:00+00:00
119611.07726935118,2025-04-06 18:15:00+00:00
120611.07726935118,2025-04-09 17:15:00+00:00
119611.07726935118,2025-04-13 08:30:00+00:00
118611.07726935118,2025-04-14 15:45:00+00:00
117611.07726935118,2025-04-15 09:00:00+00:00
118611.07726935118,2025-04-15 22:45:00+00:00
119396.88407902732,2025-04-17 02:00:00+00:00
118396.88407902732,2025-04-17 06:30:00+00:00
118813.03964712613,2025-04-18 08:00:00+00:00
118935.0402216897,2025-04-21 00:00:00+00:00
119935.0402216897,2025-04-21 00:15:00+00:00
120935.0402216897,2025-04-21 17:00:00+00:00
121935.0402216897,2025-04-22 21:45:00+00:00
120935.0402216897,2025-04-26 06:30:00+00:00
119935.0402216897,2025-04-29 20:45:00+00:00
120935.0402216897,2025-04-30 12:30:00+00:00
121935.0402216897,2025-05-04 23:30:00+00:00
122935.0402216897,2025-05-06 08:15:00+00:00
123445.35718343567,2025-05-06 22:15:00+00:00
122445.35718343567,2025-05-07 16:15:00+00:00
123445.35718343567,2025-05-08 03:00:00+00:00
124445.35718343567,2025-05-08 14:45:00+00:00
123445.35718343567,2025-05-12 00:30:00+00:00
122445.35718343567,2025-05-13 09:15:00+00:00
123445.35718343567,2025-05-15 05:45:00+00:00
124445.35718343567,2025-05-17 00:30:00+00:00
125445.35718343567,2025-05-18 14:30:00+00:00
126445.35718343567,2025-05-19 06:30:00+00:00
127445.35718343567,2025-05-21 05:15:00+00:00
128445.35718343567,2025-05-22 08:15:00+00:00
129445.35718343567,2025-05-23 12:15:00+00:00
128445.35718343567,2025-05-25 18:15:00+00:00
129445.35718343567,2025-05-30 16:30:00+00:00
128445.35718343567,2025-06-02 09:00:00+00:00
129035.72095486934,2025-06-18 04:45:00+00:00
128035.72095486934,2025-06-18 07:30:00+00:00
127035.72095486934,2025-06-21 10:00:00+00:00
126035.72095486934,2025-06-23 17:15:00+00:00
127035.72095486934,2025-06-25 13:30:00+00:00
128035.72095486934,2025-06-27 01:00:00+00:00
127035.72095486934,2025-06-27 16:30:00+00:00
128035.72095486934,2025-06-27 21:15:00+00:00
129035.72095486934,2025-06-30 18:45:00+00:00
