Capital,Time
101000.0,2024-12-07 05:45:00+00:00
102000.0,2024-12-08 23:45:00+00:00
101000.0,2024-12-12 03:45:00+00:00
102000.0,2024-12-15 12:00:00+00:00
103000.0,2024-12-17 13:30:00+00:00
104000.0,2024-12-18 19:45:00+00:00
105000.0,2024-12-19 15:15:00+00:00
104000.0,2024-12-24 13:30:00+00:00
103000.0,2024-12-27 07:15:00+00:00
104000.0,2024-12-27 07:30:00+00:00
105000.0,2025-01-01 19:45:00+00:00
106000.0,2025-01-03 14:30:00+00:00
107000.0,2025-01-04 20:30:00+00:00
106000.0,2025-01-06 14:15:00+00:00
107000.0,2025-01-09 08:00:00+00:00
106000.0,2025-01-11 17:15:00+00:00
107000.0,2025-01-13 00:15:00+00:00
108000.0,2025-01-15 13:30:00+00:00
109000.0,2025-01-18 15:45:00+00:00
110000.0,2025-01-19 20:00:00+00:00
111000.0,2025-01-29 19:30:00+00:00
112000.0,2025-02-01 09:30:00+00:00
113000.0,2025-02-01 22:15:00+00:00
114000.0,2025-02-02 03:15:00+00:00
115000.0,2025-02-02 12:45:00+00:00
116000.0,2025-02-02 17:45:00+00:00
117000.0,2025-02-04 19:15:00+00:00
116000.0,2025-02-09 01:15:00+00:00
117000.0,2025-02-11 05:45:00+00:00
116000.0,2025-02-12 08:30:00+00:00
115000.0,2025-02-17 23:30:00+00:00
116000.0,2025-02-18 08:45:00+00:00
117000.0,2025-02-21 09:15:00+00:00
118000.0,2025-02-21 13:00:00+00:00
119000.0,2025-02-24 14:45:00+00:00
120000.0,2025-02-26 13:15:00+00:00
121000.0,2025-03-01 21:45:00+00:00
120000.0,2025-03-03 14:30:00+00:00
121000.0,2025-03-12 12:30:00+00:00
122000.0,2025-03-18 13:30:00+00:00
123000.0,2025-03-21 12:45:00+00:00
124000.0,2025-03-25 13:30:00+00:00
125000.0,2025-03-27 13:00:00+00:00
126000.0,2025-03-29 10:45:00+00:00
125000.0,2025-03-30 00:45:00+00:00
126000.0,2025-04-01 08:15:00+00:00
127000.0,2025-04-01 15:45:00+00:00
128000.0,2025-04-02 09:00:00+00:00
129000.0,2025-04-03 14:00:00+00:00
130000.0,2025-04-06 08:15:00+00:00
131000.0,2025-04-08 15:00:00+00:00
132000.0,2025-04-11 04:00:00+00:00
133000.0,2025-04-12 13:30:00+00:00
132000.0,2025-04-13 19:30:00+00:00
133000.0,2025-04-15 05:15:00+00:00
132000.0,2025-04-20 06:45:00+00:00
131000.0,2025-04-24 06:15:00+00:00
132000.0,2025-04-25 11:45:00+00:00
133000.0,2025-04-28 00:00:00+00:00
134000.0,2025-05-02 00:45:00+00:00
135000.0,2025-05-02 14:45:00+00:00
136000.0,2025-05-04 22:00:00+00:00
137000.0,2025-05-05 13:45:00+00:00
136000.0,2025-05-07 17:45:00+00:00
136849.24377622275,2025-05-10 21:45:00+00:00
137849.24377622275,2025-05-10 23:15:00+00:00
138253.06842913415,2025-05-12 00:45:00+00:00
137253.06842913415,2025-05-12 02:45:00+00:00
136253.06842913415,2025-05-13 09:15:00+00:00
135253.06842913415,2025-05-14 14:15:00+00:00
136253.06842913415,2025-05-15 03:45:00+00:00
135253.06842913415,2025-05-16 14:30:00+00:00
136253.06842913415,2025-05-20 17:45:00+00:00
137253.06842913415,2025-05-21 14:45:00+00:00
137357.46893131314,2025-05-22 23:45:00+00:00
136357.46893131314,2025-05-23 04:15:00+00:00
137357.46893131314,2025-05-23 23:30:00+00:00
138357.46893131314,2025-05-25 09:30:00+00:00
137357.46893131314,2025-05-25 18:15:00+00:00
138357.46893131314,2025-05-27 13:00:00+00:00
139357.46893131314,2025-05-30 07:45:00+00:00
140357.46893131314,2025-06-01 02:00:00+00:00
141357.46893131314,2025-06-01 23:00:00+00:00
142357.46893131314,2025-06-02 08:15:00+00:00
141357.46893131314,2025-06-04 11:30:00+00:00
140357.46893131314,2025-06-05 12:15:00+00:00
141357.46893131314,2025-06-07 12:30:00+00:00
142357.46893131314,2025-06-09 21:00:00+00:00
141357.46893131314,2025-06-10 13:30:00+00:00
140357.46893131314,2025-06-15 20:30:00+00:00
141357.46893131314,2025-06-18 10:45:00+00:00
140357.46893131314,2025-06-23 13:30:00+00:00
139357.46893131314,2025-06-24 08:00:00+00:00
140357.46893131314,2025-06-27 13:45:00+00:00
141357.46893131314,2025-07-02 01:15:00+00:00
142357.46893131314,2025-07-02 15:45:00+00:00
143357.46893131314,2025-07-03 09:15:00+00:00
142357.46893131314,2025-07-03 15:30:00+00:00
143357.46893131314,2025-07-04 13:45:00+00:00
144357.46893131314,2025-07-06 21:30:00+00:00
143357.46893131314,2025-07-08 07:30:00+00:00
144357.46893131314,2025-07-09 19:15:00+00:00
143357.46893131314,2025-07-17 01:30:00+00:00
142357.46893131314,2025-07-18 08:15:00+00:00
141357.46893131314,2025-07-23 09:15:00+00:00
140357.46893131314,2025-07-25 18:00:00+00:00
139357.46893131314,2025-07-30 14:45:00+00:00
138357.46893131314,2025-08-01 13:00:00+00:00
139357.46893131314,2025-08-02 14:45:00+00:00
140357.46893131314,2025-08-03 19:15:00+00:00
141357.46893131314,2025-08-04 17:00:00+00:00
140357.46893131314,2025-08-06 05:15:00+00:00
141357.46893131314,2025-08-09 09:15:00+00:00
142357.46893131314,2025-08-10 15:00:00+00:00
143357.46893131314,2025-08-11 01:30:00+00:00
144357.46893131314,2025-08-13 22:30:00+00:00
145357.46893131314,2025-08-15 13:45:00+00:00
146357.46893131314,2025-08-19 00:30:00+00:00
145357.46893131314,2025-08-20 12:00:00+00:00
146357.46893131314,2025-08-22 12:00:00+00:00
147357.46893131314,2025-08-24 02:00:00+00:00
148357.46893131314,2025-08-27 08:30:00+00:00
149357.46893131314,2025-08-28 04:30:00+00:00
148357.46893131314,2025-08-29 01:00:00+00:00
147357.46893131314,2025-08-30 03:15:00+00:00
148357.46893131314,2025-09-02 14:30:00+00:00
149357.46893131314,2025-09-03 13:45:00+00:00
