Capital,Time
99000.0,2024-12-07 06:45:00+00:00
100000.0,2024-12-07 18:00:00+00:00
101000.0,2024-12-08 04:00:00+00:00
100775.86602653345,2024-12-08 22:45:00+00:00
99775.86602653345,2024-12-09 00:30:00+00:00
100278.50255216316,2024-12-12 02:45:00+00:00
99278.50255216316,2024-12-12 11:00:00+00:00
98278.50255216316,2024-12-12 13:30:00+00:00
98456.92299596296,2024-12-13 10:15:00+00:00
97456.92299596296,2024-12-13 14:00:00+00:00
96456.92299596296,2024-12-15 12:00:00+00:00
97456.92299596296,2024-12-15 23:15:00+00:00
98456.92299596296,2024-12-17 13:45:00+00:00
99456.92299596296,2024-12-17 23:00:00+00:00
100456.92299596296,2024-12-18 19:45:00+00:00
101456.92299596296,2024-12-19 15:00:00+00:00
101875.12418590736,2024-12-23 00:30:00+00:00
100875.12418590736,2024-12-23 03:15:00+00:00
101875.12418590736,2024-12-24 13:45:00+00:00
100875.12418590736,2024-12-25 16:15:00+00:00
99875.12418590736,2024-12-28 07:00:00+00:00
98875.12418590736,2024-12-30 12:15:00+00:00
99875.12418590736,2025-01-02 09:15:00+00:00
100875.12418590736,2025-01-03 11:30:00+00:00
99875.12418590736,2025-01-04 15:30:00+00:00
98875.12418590736,2025-01-07 11:30:00+00:00
99875.12418590736,2025-01-08 07:00:00+00:00
100875.12418590736,2025-01-08 17:00:00+00:00
99875.12418590736,2025-01-10 07:00:00+00:00
100875.12418590736,2025-01-11 19:15:00+00:00
101875.12418590736,2025-01-11 20:45:00+00:00
100875.12418590736,2025-01-12 08:30:00+00:00
101875.12418590736,2025-01-14 18:30:00+00:00
102875.12418590736,2025-01-15 04:00:00+00:00
103216.53341791545,2025-01-17 01:30:00+00:00
104216.53341791545,2025-01-17 07:30:00+00:00
104524.19710260745,2025-01-17 20:30:00+00:00
105524.19710260745,2025-01-18 00:30:00+00:00
104524.19710260745,2025-01-19 02:00:00+00:00
105524.19710260745,2025-01-23 10:30:00+00:00
105958.99719819066,2025-01-24 01:45:00+00:00
104958.99719819066,2025-01-24 05:00:00+00:00
105958.99719819066,2025-01-25 15:00:00+00:00
106958.99719819066,2025-01-29 13:00:00+00:00
107958.99719819066,2025-01-30 14:45:00+00:00
108958.99719819066,2025-02-01 09:30:00+00:00
109958.99719819066,2025-02-02 03:00:00+00:00
110958.99719819066,2025-02-02 11:45:00+00:00
111958.99719819066,2025-02-02 16:30:00+00:00
112958.99719819066,2025-02-05 16:15:00+00:00
113958.99719819066,2025-02-06 14:15:00+00:00
112958.99719819066,2025-02-07 09:15:00+00:00
111958.99719819066,2025-02-08 13:30:00+00:00
112958.99719819066,2025-02-09 03:30:00+00:00
111958.99719819066,2025-02-12 11:45:00+00:00
112958.99719819066,2025-02-14 17:30:00+00:00
113958.99719819066,2025-02-15 02:30:00+00:00
114958.99719819066,2025-02-16 13:45:00+00:00
115958.99719819066,2025-02-17 05:00:00+00:00
116958.99719819066,2025-02-18 05:15:00+00:00
117958.99719819066,2025-02-18 15:45:00+00:00
116958.99719819066,2025-02-19 07:45:00+00:00
117958.99719819066,2025-02-24 14:45:00+00:00
118958.99719819066,2025-02-26 18:30:00+00:00
119958.99719819066,2025-02-27 19:30:00+00:00
120958.99719819066,2025-02-28 01:30:00+00:00
121958.99719819066,2025-03-02 02:00:00+00:00
122958.99719819066,2025-03-02 15:30:00+00:00
121958.99719819066,2025-03-04 14:30:00+00:00
122899.63257328972,2025-03-06 02:00:00+00:00
123899.63257328972,2025-03-06 04:30:00+00:00
124899.63257328972,2025-03-08 11:00:00+00:00
125208.25727429053,2025-03-08 22:15:00+00:00
126208.25727429053,2025-03-09 03:00:00+00:00
127208.25727429053,2025-03-09 10:15:00+00:00
128208.25727429053,2025-03-12 08:00:00+00:00
127208.25727429053,2025-03-13 13:45:00+00:00
128208.25727429053,2025-03-15 04:45:00+00:00
129208.25727429053,2025-03-15 13:30:00+00:00
128208.25727429053,2025-03-16 01:30:00+00:00
127208.25727429053,2025-03-17 03:45:00+00:00
128208.25727429053,2025-03-18 13:30:00+00:00
129208.25727429053,2025-03-21 10:15:00+00:00
128208.25727429053,2025-03-25 00:30:00+00:00
127208.25727429053,2025-03-25 03:30:00+00:00
127243.66669944003,2025-03-26 05:45:00+00:00
128243.66669944003,2025-03-26 07:15:00+00:00
127243.66669944003,2025-03-27 13:15:00+00:00
127194.00907894634,2025-03-27 23:45:00+00:00
127412.03580829232,2025-03-28 03:00:00+00:00
128412.03580829232,2025-03-28 04:30:00+00:00
129412.03580829232,2025-03-29 03:00:00+00:00
130412.03580829232,2025-03-29 09:30:00+00:00
131412.03580829233,2025-03-29 17:15:00+00:00
132412.03580829233,2025-03-30 22:00:00+00:00
133412.03580829233,2025-03-31 10:00:00+00:00
134412.03580829233,2025-04-01 15:45:00+00:00
133412.03580829233,2025-04-02 02:00:00+00:00
134412.03580829233,2025-04-02 20:15:00+00:00
135412.03580829233,2025-04-03 10:15:00+00:00
136412.03580829233,2025-04-06 17:30:00+00:00
135732.35286410633,2025-04-08 08:30:00+00:00
136732.35286410633,2025-04-08 11:30:00+00:00
135732.35286410633,2025-04-10 15:15:00+00:00
136732.35286410633,2025-04-12 06:15:00+00:00
137732.35286410633,2025-04-12 13:45:00+00:00
136732.35286410633,2025-04-13 05:00:00+00:00
137732.35286410633,2025-04-15 14:15:00+00:00
138361.02282801623,2025-04-16 13:15:00+00:00
137361.02282801623,2025-04-16 14:30:00+00:00
136361.02282801623,2025-04-20 20:00:00+00:00
135361.02282801623,2025-04-21 16:15:00+00:00
135537.63507665397,2025-04-23 08:00:00+00:00
134537.63507665397,2025-04-23 13:45:00+00:00
135537.63507665397,2025-04-25 14:45:00+00:00
136537.63507665397,2025-04-26 00:45:00+00:00
137537.63507665397,2025-04-27 05:15:00+00:00
136537.63507665397,2025-04-27 14:30:00+00:00
137537.63507665397,2025-04-28 00:15:00+00:00
138537.63507665397,2025-04-28 15:00:00+00:00
139537.63507665397,2025-04-30 07:45:00+00:00
138537.63507665397,2025-05-01 02:15:00+00:00
139537.63507665397,2025-05-01 15:00:00+00:00
138537.63507665397,2025-05-02 07:30:00+00:00
139537.63507665397,2025-05-04 13:15:00+00:00
140018.03442416262,2025-05-04 22:00:00+00:00
141018.03442416262,2025-05-05 01:30:00+00:00
140729.0884104369,2025-05-06 00:00:00+00:00
141729.0884104369,2025-05-06 02:15:00+00:00
142729.0884104369,2025-05-06 10:30:00+00:00
141729.0884104369,2025-05-07 16:00:00+00:00
142729.0884104369,2025-05-08 10:45:00+00:00
143729.0884104369,2025-05-08 15:15:00+00:00
144729.0884104369,2025-05-09 07:00:00+00:00
145729.0884104369,2025-05-10 17:00:00+00:00
146729.0884104369,2025-05-13 02:00:00+00:00
145729.0884104369,2025-05-14 08:45:00+00:00
146729.0884104369,2025-05-15 07:15:00+00:00
146743.94441151503,2025-05-15 13:30:00+00:00
147743.94441151503,2025-05-15 14:30:00+00:00
146743.94441151503,2025-05-16 09:45:00+00:00
147743.94441151503,2025-05-17 13:45:00+00:00
146743.94441151503,2025-05-17 20:45:00+00:00
147743.94441151503,2025-05-18 14:30:00+00:00
146743.94441151503,2025-05-20 19:30:00+00:00
147743.94441151503,2025-05-21 14:45:00+00:00
148743.94441151503,2025-05-23 00:15:00+00:00
147743.94441151503,2025-05-23 11:45:00+00:00
148743.94441151503,2025-05-23 23:00:00+00:00
149743.94441151503,2025-05-24 23:00:00+00:00
150743.94441151503,2025-05-25 08:45:00+00:00
149743.94441151503,2025-05-25 22:00:00+00:00
150743.94441151503,2025-05-28 15:00:00+00:00
149743.94441151503,2025-05-28 23:00:00+00:00
150743.94441151503,2025-05-30 00:30:00+00:00
151743.94441151503,2025-05-30 09:30:00+00:00
152743.94441151503,2025-05-30 22:45:00+00:00
153743.94441151503,2025-06-01 01:30:00+00:00
152743.94441151503,2025-06-02 11:30:00+00:00
153743.94441151503,2025-06-03 14:45:00+00:00
154743.94441151503,2025-06-04 20:15:00+00:00
153743.94441151503,2025-06-05 12:15:00+00:00
152743.94441151503,2025-06-07 06:45:00+00:00
151743.94441151503,2025-06-08 09:15:00+00:00
152743.94441151503,2025-06-10 11:30:00+00:00
153743.94441151503,2025-06-10 23:30:00+00:00
154743.94441151503,2025-06-11 07:00:00+00:00
153743.94441151503,2025-06-11 18:00:00+00:00
152743.94441151503,2025-06-12 17:15:00+00:00
151743.94441151503,2025-06-15 01:00:00+00:00
152743.94441151503,2025-06-15 20:15:00+00:00
151743.94441151503,2025-06-16 02:00:00+00:00
