Capital,Time
101000.0,2024-12-04 15:00:00+00:00
100884.38734271581,2024-12-05 02:15:00+00:00
101884.38734271581,2024-12-05 03:00:00+00:00
102884.38734271581,2024-12-06 14:45:00+00:00
101884.38734271581,2024-12-11 03:00:00+00:00
102884.38734271581,2024-12-12 02:45:00+00:00
103884.38734271581,2024-12-12 03:45:00+00:00
104884.38734271581,2024-12-12 15:00:00+00:00
103884.38734271581,2024-12-14 12:45:00+00:00
102884.38734271581,2024-12-15 04:15:00+00:00
103884.38734271581,2024-12-15 23:15:00+00:00
102884.38734271581,2024-12-17 15:15:00+00:00
101884.38734271581,2024-12-18 19:00:00+00:00
102884.38734271581,2024-12-19 14:45:00+00:00
101884.38734271581,2024-12-22 09:30:00+00:00
102884.38734271581,2024-12-22 20:00:00+00:00
101884.38734271581,2024-12-23 03:15:00+00:00
102884.38734271581,2024-12-23 21:00:00+00:00
103884.38734271581,2024-12-24 14:30:00+00:00
104884.38734271581,2024-12-25 10:15:00+00:00
105884.38734271581,2024-12-27 07:30:00+00:00
104884.38734271581,2024-12-28 14:00:00+00:00
103884.38734271581,2024-12-30 13:15:00+00:00
102884.38734271581,2025-01-03 08:30:00+00:00
103884.38734271581,2025-01-05 00:15:00+00:00
104884.38734271581,2025-01-08 06:30:00+00:00
103884.38734271581,2025-01-08 15:00:00+00:00
104884.38734271581,2025-01-17 08:45:00+00:00
104811.84823775396,2025-01-17 20:00:00+00:00
105811.84823775396,2025-01-17 20:30:00+00:00
104811.84823775396,2025-01-19 01:00:00+00:00
103811.84823775396,2025-01-21 17:45:00+00:00
102811.84823775396,2025-01-22 06:15:00+00:00
101811.84823775396,2025-01-23 14:30:00+00:00
102811.84823775396,2025-01-24 05:45:00+00:00
103811.84823775396,2025-01-29 13:15:00+00:00
104811.84823775396,2025-02-01 19:15:00+00:00
105210.81776898551,2025-02-02 07:15:00+00:00
105855.48313865234,2025-02-02 15:15:00+00:00
106855.48313865234,2025-02-02 16:45:00+00:00
105855.48313865234,2025-02-07 07:15:00+00:00
106855.48313865234,2025-02-08 15:30:00+00:00
105855.48313865234,2025-02-08 18:15:00+00:00
106855.48313865234,2025-02-11 00:30:00+00:00
105855.48313865234,2025-02-11 13:30:00+00:00
104855.48313865234,2025-02-12 12:15:00+00:00
105855.48313865234,2025-02-14 03:45:00+00:00
104855.48313865234,2025-02-16 05:45:00+00:00
105855.48313865234,2025-02-16 23:00:00+00:00
104855.48313865234,2025-02-17 08:00:00+00:00
103855.48313865234,2025-02-18 05:15:00+00:00
104855.48313865234,2025-02-18 16:30:00+00:00
105855.48313865234,2025-02-20 04:15:00+00:00
106855.48313865234,2025-02-21 09:15:00+00:00
107855.48313865234,2025-02-23 06:30:00+00:00
108855.48313865234,2025-02-26 12:45:00+00:00
109855.48313865234,2025-02-28 01:30:00+00:00
110855.48313865234,2025-03-01 10:15:00+00:00
109855.48313865234,2025-03-02 13:15:00+00:00
108855.48313865234,2025-03-06 17:00:00+00:00
107855.48313865234,2025-03-08 12:15:00+00:00
108855.48313865234,2025-03-13 08:15:00+00:00
109855.48313865234,2025-03-15 16:30:00+00:00
