Capital,Time
99000.0,2024-12-04 16:15:00+00:00
100000.0,2024-12-05 12:00:00+00:00
101000.0,2024-12-07 14:30:00+00:00
102000.0,2024-12-09 20:30:00+00:00
103000.0,2024-12-10 12:45:00+00:00
104000.0,2024-12-12 05:30:00+00:00
103000.0,2024-12-12 11:00:00+00:00
104000.0,2024-12-13 15:45:00+00:00
105000.0,2024-12-15 07:30:00+00:00
106000.0,2024-12-17 00:45:00+00:00
107000.0,2024-12-18 19:45:00+00:00
108000.0,2024-12-19 15:00:00+00:00
109000.0,2024-12-22 14:45:00+00:00
108000.0,2024-12-23 03:15:00+00:00
109000.0,2024-12-24 09:30:00+00:00
110000.0,2024-12-24 15:15:00+00:00
111000.0,2024-12-25 01:30:00+00:00
110000.0,2024-12-26 05:00:00+00:00
109000.0,2024-12-28 12:00:00+00:00
110000.0,2024-12-29 07:00:00+00:00
110465.26303646414,2025-01-03 08:15:00+00:00
111465.26303646414,2025-01-03 09:15:00+00:00
112465.26303646414,2025-01-03 16:15:00+00:00
113465.26303646414,2025-01-07 15:00:00+00:00
112465.26303646414,2025-01-08 14:15:00+00:00
111465.26303646414,2025-01-09 15:45:00+00:00
112465.26303646414,2025-01-13 00:15:00+00:00
113465.26303646414,2025-01-15 13:30:00+00:00
114465.26303646414,2025-01-18 03:15:00+00:00
115465.26303646414,2025-01-22 13:15:00+00:00
114465.26303646414,2025-01-26 09:30:00+00:00
115465.26303646414,2025-01-29 13:00:00+00:00
114465.26303646414,2025-01-31 00:15:00+00:00
113465.26303646414,2025-01-31 18:00:00+00:00
114465.26303646414,2025-02-01 10:45:00+00:00
115465.26303646414,2025-02-01 19:00:00+00:00
116465.26303646414,2025-02-02 03:45:00+00:00
117465.26303646414,2025-02-02 16:30:00+00:00
118465.26303646414,2025-02-06 12:30:00+00:00
117465.26303646414,2025-02-07 02:15:00+00:00
116465.26303646414,2025-02-08 10:15:00+00:00
117465.26303646414,2025-02-11 06:45:00+00:00
118465.26303646414,2025-02-12 13:30:00+00:00
117465.26303646414,2025-02-12 22:30:00+00:00
118465.26303646414,2025-02-14 17:30:00+00:00
119465.26303646414,2025-02-17 04:45:00+00:00
118465.26303646414,2025-02-17 12:15:00+00:00
119401.55647769074,2025-02-18 04:45:00+00:00
120401.55647769074,2025-02-18 05:15:00+00:00
119401.55647769074,2025-02-19 09:45:00+00:00
120401.55647769074,2025-02-20 14:00:00+00:00
120835.31139975872,2025-02-20 23:15:00+00:00
121835.31139975872,2025-02-21 09:00:00+00:00
120835.31139975872,2025-02-21 14:30:00+00:00
