Capital,Time
101000.0,2024-12-06 10:00:00+00:00
102000.0,2024-12-07 15:30:00+00:00
103000.0,2024-12-07 23:30:00+00:00
104000.0,2024-12-08 17:45:00+00:00
103000.0,2024-12-09 00:15:00+00:00
102000.0,2024-12-12 00:45:00+00:00
101000.0,2024-12-12 19:30:00+00:00
102000.0,2024-12-14 05:30:00+00:00
103000.0,2024-12-15 21:15:00+00:00
104000.0,2024-12-17 08:30:00+00:00
105000.0,2024-12-19 15:00:00+00:00
104000.0,2024-12-22 09:30:00+00:00
103000.0,2024-12-23 04:00:00+00:00
104000.0,2024-12-24 13:30:00+00:00
103000.0,2024-12-25 11:45:00+00:00
102000.0,2024-12-27 09:00:00+00:00
101000.0,2024-12-28 14:00:00+00:00
100000.0,2024-12-29 14:15:00+00:00
101000.0,2024-12-30 05:30:00+00:00
102000.0,2024-12-30 14:30:00+00:00
103000.0,2025-01-01 05:30:00+00:00
104000.0,2025-01-01 12:15:00+00:00
105000.0,2025-01-01 19:00:00+00:00
106000.0,2025-01-03 02:15:00+00:00
107000.0,2025-01-03 16:30:00+00:00
108000.0,2025-01-05 01:00:00+00:00
109000.0,2025-01-05 09:45:00+00:00
110000.0,2025-01-07 06:45:00+00:00
109000.0,2025-01-08 12:00:00+00:00
110000.0,2025-01-11 10:30:00+00:00
111000.0,2025-01-11 16:45:00+00:00
110000.0,2025-01-12 09:30:00+00:00
109000.0,2025-01-13 06:30:00+00:00
110000.0,2025-01-14 17:00:00+00:00
109000.0,2025-01-18 23:30:00+00:00
110000.0,2025-01-19 22:45:00+00:00
110270.16184457579,2025-01-24 00:30:00+00:00
109270.16184457579,2025-01-24 04:45:00+00:00
108270.16184457579,2025-01-27 04:45:00+00:00
109270.16184457579,2025-01-27 06:30:00+00:00
110270.16184457579,2025-01-28 12:00:00+00:00
109270.16184457579,2025-01-28 20:15:00+00:00
109651.79820205529,2025-01-30 19:00:00+00:00
108651.79820205529,2025-01-31 03:00:00+00:00
109651.79820205529,2025-01-31 18:30:00+00:00
110651.79820205529,2025-02-01 09:15:00+00:00
110937.40419487041,2025-02-01 18:45:00+00:00
111937.40419487041,2025-02-01 19:30:00+00:00
112937.40419487041,2025-02-02 03:00:00+00:00
113937.40419487041,2025-02-02 11:30:00+00:00
114937.40419487041,2025-02-02 16:45:00+00:00
115937.40419487041,2025-02-05 16:30:00+00:00
114937.40419487041,2025-02-07 09:45:00+00:00
115937.40419487041,2025-02-09 03:30:00+00:00
114937.40419487041,2025-02-09 21:30:00+00:00
115241.00433774371,2025-02-11 04:30:00+00:00
116241.00433774371,2025-02-11 05:00:00+00:00
117241.00433774371,2025-02-12 13:30:00+00:00
116241.00433774371,2025-02-13 06:30:00+00:00
117241.00433774371,2025-02-14 08:00:00+00:00
118241.00433774371,2025-02-14 19:00:00+00:00
119241.00433774371,2025-02-15 02:15:00+00:00
118241.00433774371,2025-02-15 17:15:00+00:00
119241.00433774371,2025-02-17 05:00:00+00:00
120241.00433774371,2025-02-17 16:15:00+00:00
121241.00433774371,2025-02-18 06:00:00+00:00
122241.00433774371,2025-02-18 16:15:00+00:00
122585.13894228684,2025-02-20 14:00:00+00:00
121585.13894228684,2025-02-20 15:45:00+00:00
122585.13894228684,2025-02-23 15:30:00+00:00
122861.42691202414,2025-02-24 19:15:00+00:00
123861.42691202414,2025-02-24 21:45:00+00:00
124861.42691202414,2025-02-26 12:45:00+00:00
125861.42691202414,2025-02-27 15:00:00+00:00
126861.42691202414,2025-03-01 21:45:00+00:00
127861.42691202414,2025-03-06 08:15:00+00:00
128861.42691202414,2025-03-06 08:45:00+00:00
129861.42691202414,2025-03-07 16:00:00+00:00
130145.39831745518,2025-03-08 16:15:00+00:00
130326.70655544658,2025-03-09 02:45:00+00:00
130122.8650411227,2025-03-09 09:30:00+00:00
131122.8650411227,2025-03-09 10:00:00+00:00
132122.8650411227,2025-03-09 17:45:00+00:00
131122.8650411227,2025-03-12 04:00:00+00:00
132122.8650411227,2025-03-13 12:15:00+00:00
133122.8650411227,2025-03-14 06:00:00+00:00
134122.8650411227,2025-03-15 02:45:00+00:00
133122.8650411227,2025-03-16 02:00:00+00:00
132122.8650411227,2025-03-17 03:00:00+00:00
133122.8650411227,2025-03-18 13:30:00+00:00
132122.8650411227,2025-03-20 04:30:00+00:00
131122.8650411227,2025-03-21 18:30:00+00:00
130122.86504112271,2025-03-23 13:45:00+00:00
129122.86504112271,2025-03-23 16:30:00+00:00
129789.38581623965,2025-03-24 08:45:00+00:00
130789.38581623965,2025-03-24 14:15:00+00:00
129789.38581623965,2025-03-24 23:00:00+00:00
128789.38581623965,2025-03-26 13:30:00+00:00
129789.38581623965,2025-03-27 11:45:00+00:00
130789.38581623965,2025-03-28 04:30:00+00:00
131789.38581623964,2025-03-28 16:45:00+00:00
132789.38581623964,2025-03-29 03:00:00+00:00
133789.38581623964,2025-03-29 09:30:00+00:00
132789.38581623964,2025-03-30 01:00:00+00:00
133789.38581623964,2025-03-31 10:00:00+00:00
134789.38581623964,2025-04-03 12:30:00+00:00
135789.38581623964,2025-04-05 10:30:00+00:00
134789.38581623964,2025-04-06 06:45:00+00:00
135789.38581623964,2025-04-06 17:30:00+00:00
134789.38581623964,2025-04-09 13:30:00+00:00
133789.38581623964,2025-04-10 13:30:00+00:00
134789.38581623964,2025-04-11 18:00:00+00:00
135789.38581623964,2025-04-12 06:15:00+00:00
136789.38581623964,2025-04-12 13:30:00+00:00
136894.9784933884,2025-04-13 07:15:00+00:00
137894.9784933884,2025-04-13 09:15:00+00:00
136894.9784933884,2025-04-13 19:30:00+00:00
135894.9784933884,2025-04-15 09:00:00+00:00
134894.9784933884,2025-04-15 14:15:00+00:00
133894.9784933884,2025-04-16 14:30:00+00:00
134894.9784933884,2025-04-18 03:15:00+00:00
133894.9784933884,2025-04-18 08:00:00+00:00
132894.9784933884,2025-04-22 08:00:00+00:00
133894.9784933884,2025-04-23 08:00:00+00:00
133495.18485526025,2025-04-26 01:30:00+00:00
134495.18485526025,2025-04-26 06:30:00+00:00
135495.18485526025,2025-04-28 07:15:00+00:00
134495.18485526025,2025-04-30 07:00:00+00:00
135495.18485526025,2025-04-30 07:45:00+00:00
136187.8620310715,2025-05-04 22:00:00+00:00
137187.8620310715,2025-05-05 01:30:00+00:00
138187.8620310715,2025-05-06 02:00:00+00:00
139187.8620310715,2025-05-06 08:15:00+00:00
138187.8620310715,2025-05-06 14:15:00+00:00
139187.8620310715,2025-05-08 08:45:00+00:00
140187.8620310715,2025-05-09 08:15:00+00:00
140780.5705509687,2025-05-10 21:45:00+00:00
141780.5705509687,2025-05-11 00:00:00+00:00
140780.5705509687,2025-05-12 00:30:00+00:00
141780.5705509687,2025-05-14 07:45:00+00:00
140780.5705509687,2025-05-14 13:45:00+00:00
141780.5705509687,2025-05-15 14:15:00+00:00
140780.5705509687,2025-05-16 10:45:00+00:00
141780.5705509687,2025-05-17 13:45:00+00:00
142780.5705509687,2025-05-18 14:30:00+00:00
141780.5705509687,2025-05-20 19:45:00+00:00
142780.5705509687,2025-05-22 09:00:00+00:00
143780.5705509687,2025-05-23 01:15:00+00:00
142780.5705509687,2025-05-23 11:45:00+00:00
143780.5705509687,2025-05-23 23:00:00+00:00
142780.5705509687,2025-05-25 19:45:00+00:00
143780.5705509687,2025-05-29 19:00:00+00:00
144780.5705509687,2025-05-30 00:30:00+00:00
145780.5705509687,2025-05-30 14:00:00+00:00
146780.5705509687,2025-05-31 00:00:00+00:00
147780.5705509687,2025-06-01 01:45:00+00:00
146780.5705509687,2025-06-01 23:00:00+00:00
145780.5705509687,2025-06-02 09:00:00+00:00
144780.5705509687,2025-06-10 09:45:00+00:00
145780.5705509687,2025-06-10 11:30:00+00:00
146780.5705509687,2025-06-12 19:45:00+00:00
147780.5705509687,2025-06-18 10:45:00+00:00
148780.5705509687,2025-06-21 18:15:00+00:00
147780.5705509687,2025-06-22 22:00:00+00:00
148780.5705509687,2025-06-24 05:45:00+00:00
148405.68833478948,2025-06-25 10:15:00+00:00
149405.68833478948,2025-06-25 13:30:00+00:00
148405.68833478948,2025-06-26 12:00:00+00:00
149405.68833478948,2025-06-27 00:30:00+00:00
150405.68833478948,2025-06-27 14:45:00+00:00
151405.68833478948,2025-07-03 05:45:00+00:00
150405.68833478948,2025-07-04 06:00:00+00:00
149405.68833478948,2025-07-05 06:15:00+00:00
148405.68833478948,2025-07-06 18:15:00+00:00
149405.68833478948,2025-07-09 05:30:00+00:00
150405.68833478948,2025-07-09 19:30:00+00:00
151356.63510993563,2025-07-10 07:15:00+00:00
151970.8108918234,2025-07-10 11:30:00+00:00
150970.8108918234,2025-07-10 13:45:00+00:00
151970.8108918234,2025-07-11 02:30:00+00:00
152970.8108918234,2025-07-11 10:15:00+00:00
153970.8108918234,2025-07-13 14:15:00+00:00
152970.8108918234,2025-07-13 21:30:00+00:00
151970.8108918234,2025-07-14 15:45:00+00:00
152970.8108918234,2025-07-17 05:30:00+00:00
153970.8108918234,2025-07-17 18:45:00+00:00
152970.8108918234,2025-07-18 15:15:00+00:00
151970.8108918234,2025-07-20 07:15:00+00:00
152970.8108918234,2025-07-21 06:15:00+00:00
153970.8108918234,2025-07-21 14:45:00+00:00
152970.8108918234,2025-07-22 11:45:00+00:00
153970.8108918234,2025-07-24 05:15:00+00:00
152970.8108918234,2025-07-26 01:30:00+00:00
151970.8108918234,2025-07-26 02:30:00+00:00
150970.8108918234,2025-07-26 17:30:00+00:00
151277.9618240411,2025-07-27 20:00:00+00:00
152277.9618240411,2025-07-28 00:15:00+00:00
151277.9618240411,2025-07-28 13:00:00+00:00
150277.9618240411,2025-07-29 08:00:00+00:00
151277.9618240411,2025-07-30 19:00:00+00:00
150277.9618240411,2025-07-31 18:00:00+00:00
151277.9618240411,2025-08-01 08:00:00+00:00
152277.9618240411,2025-08-02 13:30:00+00:00
151277.9618240411,2025-08-03 02:00:00+00:00
152277.9618240411,2025-08-04 13:30:00+00:00
152498.6857361697,2025-08-04 21:30:00+00:00
151498.6857361697,2025-08-05 04:00:00+00:00
150498.6857361697,2025-08-06 14:45:00+00:00
151498.6857361697,2025-08-07 19:45:00+00:00
152498.6857361697,2025-08-10 07:30:00+00:00
152305.64089366072,2025-08-10 20:15:00+00:00
151305.64089366072,2025-08-11 01:30:00+00:00
151450.20084077286,2025-08-12 09:45:00+00:00
150450.20084077286,2025-08-12 12:30:00+00:00
151450.20084077286,2025-08-13 08:45:00+00:00
152450.20084077286,2025-08-14 02:00:00+00:00
153450.20084077286,2025-08-15 13:45:00+00:00
152450.20084077286,2025-08-20 08:45:00+00:00
151450.20084077286,2025-08-20 15:00:00+00:00
151614.88243388492,2025-08-21 19:30:00+00:00
152116.68350340647,2025-08-22 03:15:00+00:00
152127.9907346715,2025-08-22 10:00:00+00:00
153127.9907346715,2025-08-22 11:30:00+00:00
154127.9907346715,2025-08-24 01:45:00+00:00
153127.9907346715,2025-08-26 12:30:00+00:00
152127.9907346715,2025-08-27 20:15:00+00:00
153127.9907346715,2025-08-29 04:45:00+00:00
154127.9907346715,2025-08-29 14:45:00+00:00
153924.38694708582,2025-08-30 01:15:00+00:00
154924.38694708582,2025-08-30 01:45:00+00:00
155089.37958974065,2025-09-02 19:30:00+00:00
156089.37958974065,2025-09-02 22:45:00+00:00
155089.37958974065,2025-09-03 06:00:00+00:00
154089.37958974065,2025-09-05 07:00:00+00:00
153089.37958974065,2025-09-06 11:15:00+00:00
153376.00274052407,2025-09-08 07:15:00+00:00
154376.00274052407,2025-09-08 09:45:00+00:00
153376.00274052407,2025-09-11 12:30:00+00:00
152376.00274052407,2025-09-12 12:00:00+00:00
151376.00274052407,2025-09-16 08:45:00+00:00
152376.00274052407,2025-09-18 10:00:00+00:00
153376.00274052407,2025-09-19 15:00:00+00:00
152376.00274052407,2025-09-23 05:15:00+00:00
153376.00274052407,2025-09-25 17:15:00+00:00
152376.00274052407,2025-09-29 07:00:00+00:00
153376.00274052407,2025-09-29 07:30:00+00:00
152376.00274052407,2025-09-30 08:30:00+00:00
152584.95921589067,2025-10-01 23:45:00+00:00
153584.95921589067,2025-10-02 02:30:00+00:00
152584.95921589067,2025-10-02 14:45:00+00:00
153584.95921589067,2025-10-03 15:45:00+00:00
154584.95921589067,2025-10-07 14:00:00+00:00
153584.95921589067,2025-10-08 14:00:00+00:00
153889.05368912133,2025-10-10 02:45:00+00:00
152889.05368912133,2025-10-10 03:30:00+00:00
153889.05368912133,2025-10-11 20:30:00+00:00
152889.05368912133,2025-10-12 10:00:00+00:00
153889.05368912133,2025-10-13 07:00:00+00:00
152889.05368912133,2025-10-14 04:45:00+00:00
153889.05368912133,2025-10-16 09:30:00+00:00
154889.05368912133,2025-10-17 06:30:00+00:00
153889.05368912133,2025-10-18 06:00:00+00:00
152889.05368912133,2025-10-19 08:45:00+00:00
151889.05368912133,2025-10-20 00:15:00+00:00
150889.05368912133,2025-10-20 16:00:00+00:00
151889.05368912133,2025-10-22 11:00:00+00:00
150889.05368912133,2025-10-22 15:00:00+00:00
151889.05368912133,2025-10-24 04:30:00+00:00
152889.05368912133,2025-10-24 12:30:00+00:00
153889.05368912133,2025-10-25 00:45:00+00:00
154889.05368912133,2025-10-25 12:30:00+00:00
155889.05368912133,2025-10-25 18:45:00+00:00
154889.05368912133,2025-10-26 19:00:00+00:00
153889.05368912133,2025-10-27 07:30:00+00:00
