Pnl_Dollar,Pnl_X,Direction,Entry_price,Exit_price,Entry_Idx,Exit_Idx,Exit_Reason,Entry_Time,Exit_Time,Entry_pct_atr,Result
-1000.0,-1.0,short,0.43163,0.4348,598,603,SL,2024-12-07 05:30:00+00:00,2024-12-07 06:45:00+00:00,0.550364550727421,Loss
1000.0,1.0,long,0.45195,0.45761,636,648,TP,2024-12-07 15:00:00+00:00,2024-12-07 18:00:00+00:00,0.7499652838479545,Win
1000.0,1.0,long,0.46114,0.46832,676,688,TP,2024-12-08 01:00:00+00:00,2024-12-08 04:00:00+00:00,0.8131456348834369,Win
-224.13397346655202,-0.22413397346655203,long,0.46714,0.46523,738,763,Signal,2024-12-08 16:30:00+00:00,2024-12-08 22:45:00+00:00,0.8408232170470249,Loss
-1000.0,-1.0,long,0.46523,0.45901,763,770,SL,2024-12-08 22:45:00+00:00,2024-12-09 00:30:00+00:00,0.6080753041664588,Loss
502.6365256297156,0.5026365256297156,long,0.41364,0.41797,1037,1067,Signal,2024-12-11 19:15:00+00:00,2024-12-12 02:45:00+00:00,0.8868445025101165,Win
-1000.0,-1.0,long,0.41797,0.41169,1067,1100,SL,2024-12-12 02:45:00+00:00,2024-12-12 11:00:00+00:00,0.6942087245711246,Loss
-1000.0,-1.0,long,0.41611,0.41746,1107,1110,SL,2024-12-12 12:45:00+00:00,2024-12-12 13:30:00+00:00,0.6669006037644556,Loss
178.42044379979995,0.17842044379979996,short,0.4025,0.40123,1179,1193,Signal,2024-12-13 06:45:00+00:00,2024-12-13 10:15:00+00:00,0.6120703048846663,Win
-1000.0,-1.0,short,0.40123,0.40577,1193,1208,SL,2024-12-13 10:15:00+00:00,2024-12-13 14:00:00+00:00,0.5894839245824977,Loss
-1000.0,-1.0,short,0.39625,0.40055,1372,1392,SL,2024-12-15 07:00:00+00:00,2024-12-15 12:00:00+00:00,0.4730045948947985,Loss
1000.0,1.0,long,0.40167,0.40267,1434,1437,TP,2024-12-15 22:30:00+00:00,2024-12-15 23:15:00+00:00,0.44667630674627257,Win
1000.0,1.0,long,0.40164,0.40713,1544,1591,TP,2024-12-17 02:00:00+00:00,2024-12-17 13:45:00+00:00,0.5834643845983114,Win
1000.0,1.0,short,0.39771,0.39491,1624,1628,TP,2024-12-17 22:00:00+00:00,2024-12-17 23:00:00+00:00,0.5463150659450065,Win
1000.0,1.0,short,0.38513,0.38485,1682,1711,TP,2024-12-18 12:30:00+00:00,2024-12-18 19:45:00+00:00,0.547779746076268,Win
1000.0,1.0,short,0.35966,0.35631,1786,1788,TP,2024-12-19 14:30:00+00:00,2024-12-19 15:00:00+00:00,0.8008712879803299,Win
418.2011899444018,0.4182011899444018,short,0.31292,0.30867,2073,2114,Signal,2024-12-22 14:15:00+00:00,2024-12-23 00:30:00+00:00,0.9879927716953079,Win
-1000.0,-1.0,short,0.30867,0.31619,2114,2125,SL,2024-12-23 00:30:00+00:00,2024-12-23 03:15:00+00:00,1.082552804708068,Loss
1000.0,1.0,long,0.32331,0.32781,2225,2263,TP,2024-12-24 04:15:00+00:00,2024-12-24 13:45:00+00:00,0.7130642949354178,Win
-1000.0,-1.0,long,0.33507,0.33077,2294,2369,SL,2024-12-24 21:30:00+00:00,2024-12-25 16:15:00+00:00,0.7581028728089872,Loss
-1000.0,-1.0,short,0.31138,0.31618,2583,2620,SL,2024-12-27 21:45:00+00:00,2024-12-28 07:00:00+00:00,0.5690131741102222,Loss
-1000.0,-1.0,short,0.31692,0.32156,2803,2833,SL,2024-12-30 04:45:00+00:00,2024-12-30 12:15:00+00:00,0.6553110865783341,Loss
1000.0,1.0,long,0.33351,0.33665,3101,3109,TP,2025-01-02 07:15:00+00:00,2025-01-02 09:15:00+00:00,0.562569177065943,Win
1000.0,1.0,long,0.34015,0.34373,3205,3214,TP,2025-01-03 09:15:00+00:00,2025-01-03 11:30:00+00:00,0.48604822594158664,Win
-1000.0,-1.0,long,0.39,0.38621,3309,3326,SL,2025-01-04 11:15:00+00:00,2025-01-04 15:30:00+00:00,0.632532859242116,Loss
-1000.0,-1.0,long,0.39449,0.39104,3585,3598,SL,2025-01-07 08:15:00+00:00,2025-01-07 11:30:00+00:00,0.4895410334885587,Loss
1000.0,1.0,short,0.348,0.34086,3673,3676,TP,2025-01-08 06:15:00+00:00,2025-01-08 07:00:00+00:00,0.8188550683899929,Win
1000.0,1.0,short,0.34581,0.33866,3687,3716,TP,2025-01-08 09:45:00+00:00,2025-01-08 17:00:00+00:00,0.8716150776688599,Win
-1000.0,-1.0,short,0.3231,0.33314,3814,3868,SL,2025-01-09 17:30:00+00:00,2025-01-10 07:00:00+00:00,1.1084793019803638,Loss
1000.0,1.0,long,0.3302,0.33729,3909,4013,Signal,2025-01-10 17:15:00+00:00,2025-01-11 19:15:00+00:00,1.0665653226818226,Win
