Pnl_Dollar,Pnl_X,Direction,Entry_price,Exit_price,Entry_Idx,Exit_Idx,Exit_Reason,Entry_Time,Exit_Time,Entry_pct_atr,Result
1000.0,1.0,long,3746.8,3778.9,346,348,TP,2024-12-04 14:30:00+00:00,2024-12-04 15:00:00+00:00,0.5379511997738021,Win
-115.6126572841852,-0.1156126572841852,long,3835.0,3826.49,360,393,Signal,2024-12-04 18:00:00+00:00,2024-12-05 02:15:00+00:00,0.7901091748376995,Loss
1000.0,1.0,long,3826.49,3856.0,393,396,TP,2024-12-05 02:15:00+00:00,2024-12-05 03:00:00+00:00,0.6397901562604689,Win
1000.0,1.0,long,3884.16,3930.28,534,539,TP,2024-12-06 13:30:00+00:00,2024-12-06 14:45:00+00:00,0.5375014719500149,Win
-1000.0,-1.0,short,3585.73,3651.2,962,972,SL,2024-12-11 00:30:00+00:00,2024-12-11 03:00:00+00:00,0.6967143452101867,Loss
1000.0,1.0,long,3805.9,3824.99,1037,1067,TP,2024-12-11 19:15:00+00:00,2024-12-12 02:45:00+00:00,0.5120669963474634,Win
1000.0,1.0,long,3880.39,3919.0,1067,1071,TP,2024-12-12 02:45:00+00:00,2024-12-12 03:45:00+00:00,0.4333601037315918,Win
1000.0,1.0,long,3933.48,3981.91,1106,1116,TP,2024-12-12 12:30:00+00:00,2024-12-12 15:00:00+00:00,0.43569496024564863,Win
-1000.0,-1.0,long,3929.26,3877.74,1222,1299,SL,2024-12-13 17:30:00+00:00,2024-12-14 12:45:00+00:00,0.5394658322909891,Loss
-1000.0,-1.0,short,3861.81,3886.27,1317,1361,SL,2024-12-14 17:15:00+00:00,2024-12-15 04:15:00+00:00,0.35692112335166065,Loss
1000.0,1.0,long,3884.38,3901.42,1434,1437,TP,2024-12-15 22:30:00+00:00,2024-12-15 23:15:00+00:00,0.38407161582095317,Win
-1000.0,-1.0,long,4004.31,3970.29,1544,1597,SL,2024-12-17 02:00:00+00:00,2024-12-17 15:15:00+00:00,0.5318792041183739,Loss
-1000.0,-1.0,short,3861.22,3899.09,1683,1708,SL,2024-12-18 12:45:00+00:00,2024-12-18 19:00:00+00:00,0.36010100087793134,Loss
1000.0,1.0,short,3685.08,3667.16,1778,1787,TP,2024-12-19 12:30:00+00:00,2024-12-19 14:45:00+00:00,0.4085540729657896,Win
-1000.0,-1.0,short,3324.59,3365.15,2028,2054,SL,2024-12-22 03:00:00+00:00,2024-12-22 09:30:00+00:00,0.6649871395920581,Loss
1000.0,1.0,short,3289.1,3247.14,2093,2096,TP,2024-12-22 19:15:00+00:00,2024-12-22 20:00:00+00:00,0.6605059743338612,Win
-1000.0,-1.0,short,3255.32,3315.22,2115,2125,SL,2024-12-23 00:45:00+00:00,2024-12-23 03:15:00+00:00,0.7146963937833898,Loss
1000.0,1.0,long,3365.22,3403.6,2193,2196,TP,2024-12-23 20:15:00+00:00,2024-12-23 21:00:00+00:00,0.718793797167043,Win
1000.0,1.0,long,3412.49,3445.93,2225,2266,TP,2024-12-24 04:15:00+00:00,2024-12-24 14:30:00+00:00,0.5496184148843472,Win
1000.0,1.0,long,3482.12,3516.53,2294,2345,TP,2024-12-24 21:30:00+00:00,2024-12-25 10:15:00+00:00,0.5261678432209563,Win
1000.0,1.0,short,3366.83,3366.83,2525,2526,TP,2024-12-27 07:15:00+00:00,2024-12-27 07:30:00+00:00,0.40865585885506084,Win
-1000.0,-1.0,short,3331.51,3366.0,2582,2648,SL,2024-12-27 21:30:00+00:00,2024-12-28 14:00:00+00:00,0.4293502223824632,Loss
-1000.0,-1.0,long,3426.88,3393.2,2809,2837,SL,2024-12-30 06:15:00+00:00,2024-12-30 13:15:00+00:00,0.3825343982314269,Loss
-1000.0,-1.0,long,3462.83,3431.54,3169,3202,SL,2025-01-03 00:15:00+00:00,2025-01-03 08:30:00+00:00,0.33170932855232754,Loss
1000.0,1.0,long,3633.31,3667.3,3335,3361,TP,2025-01-04 17:45:00+00:00,2025-01-05 00:15:00+00:00,0.3702679537353312,Win
1000.0,1.0,short,3369.6,3337.77,3660,3674,TP,2025-01-08 03:00:00+00:00,2025-01-08 06:30:00+00:00,0.5450974995285579,Win
-1000.0,-1.0,short,3339.62,3369.54,3699,3708,SL,2025-01-08 12:45:00+00:00,2025-01-08 15:00:00+00:00,0.46563113205223533,Loss
1000.0,1.0,long,3374.52,3394.05,4538,4547,TP,2025-01-17 06:30:00+00:00,2025-01-17 08:45:00+00:00,0.36025622031333754,Win
-72.53910496185028,-0.07253910496185029,long,3448.99,3445.35,4572,4592,Signal,2025-01-17 15:00:00+00:00,2025-01-17 20:00:00+00:00,0.4880725654321235,Loss
1000.0,1.0,long,3445.35,3491.4,4592,4594,TP,2025-01-17 20:00:00+00:00,2025-01-17 20:30:00+00:00,0.48497125840411687,Win
-1000.0,-1.0,short,3276.49,3316.3,4674,4708,SL,2025-01-18 16:30:00+00:00,2025-01-19 01:00:00+00:00,0.7772865389133171,Loss
-1000.0,-1.0,short,3289.41,3320.84,4955,4967,SL,2025-01-21 14:45:00+00:00,2025-01-21 17:45:00+00:00,0.6233581419849104,Loss
-1000.0,-1.0,long,3361.54,3322.01,4995,5017,SL,2025-01-22 00:45:00+00:00,2025-01-22 06:15:00+00:00,0.5045675621958493,Loss
-1000.0,-1.0,short,3205.38,3234.57,5126,5146,SL,2025-01-23 09:30:00+00:00,2025-01-23 14:30:00+00:00,0.3916061121791,Loss
1000.0,1.0,long,3333.4,3378.75,5203,5207,TP,2025-01-24 04:45:00+00:00,2025-01-24 05:45:00+00:00,0.627096113801571,Win
1000.0,1.0,short,3126.01,3110.66,5701,5717,TP,2025-01-29 09:15:00+00:00,2025-01-29 13:15:00+00:00,0.358638020269575,Win
1000.0,1.0,short,3242.71,3227.17,6008,6029,TP,2025-02-01 14:00:00+00:00,2025-02-01 19:15:00+00:00,0.38084067169383967,Win
398.9695312315415,0.3989695312315415,short,3115.81,3094.74,6059,6077,Signal,2025-02-02 02:45:00+00:00,2025-02-02 07:15:00+00:00,0.5119009427182998,Win
644.6653696668336,0.6446653696668336,short,3094.74,3064.45,6077,6109,Signal,2025-02-02 07:15:00+00:00,2025-02-02 15:15:00+00:00,0.5649793616536899,Win
1000.0,1.0,short,3064.45,3039.69,6109,6115,TP,2025-02-02 15:15:00+00:00,2025-02-02 16:45:00+00:00,0.506080389776502,Win
-1000.0,-1.0,short,2682.18,2704.53,6553,6557,SL,2025-02-07 06:15:00+00:00,2025-02-07 07:15:00+00:00,0.5900659052304404,Loss
1000.0,1.0,short,2630.97,2605.81,6644,6686,TP,2025-02-08 05:00:00+00:00,2025-02-08 15:30:00+00:00,0.5085495684041187,Win
-1000.0,-1.0,short,2595.46,2624.59,6686,6697,SL,2025-02-08 15:30:00+00:00,2025-02-08 18:15:00+00:00,0.5112079669550036,Loss
1000.0,1.0,long,2677.85,2677.85,6913,6914,TP,2025-02-11 00:15:00+00:00,2025-02-11 00:30:00+00:00,0.3999641727945237,Win
-1000.0,-1.0,long,2698.02,2675.52,6932,6966,SL,2025-02-11 05:00:00+00:00,2025-02-11 13:30:00+00:00,0.4199178758066331,Loss
-1000.0,-1.0,short,2586.39,2631.99,7003,7057,SL,2025-02-11 22:45:00+00:00,2025-02-12 12:15:00+00:00,0.7269185107794377,Loss
1000.0,1.0,long,2657.8,2702.07,7180,7215,TP,2025-02-13 19:00:00+00:00,2025-02-14 03:45:00+00:00,0.6583031550287285,Win
-1000.0,-1.0,short,2687.4,2707.3,7377,7415,SL,2025-02-15 20:15:00+00:00,2025-02-16 05:45:00+00:00,0.31486119282694613,Loss
1000.0,1.0,short,2683.08,2678.89,7464,7484,TP,2025-02-16 18:00:00+00:00,2025-02-16 23:00:00+00:00,0.30990902769473977,Win
-1000.0,-1.0,short,2661.39,2681.59,7484,7520,SL,2025-02-16 23:00:00+00:00,2025-02-17 08:00:00+00:00,0.43161164233291316,Loss
-1000.0,-1.0,long,2737.49,2700.19,7570,7605,SL,2025-02-17 20:30:00+00:00,2025-02-18 05:15:00+00:00,0.6351562519127684,Loss
1000.0,1.0,short,2687.6,2660.06,7644,7650,TP,2025-02-18 15:00:00+00:00,2025-02-18 16:30:00+00:00,0.5735239312174728,Win
1000.0,1.0,long,2711.49,2745.27,7745,7793,TP,2025-02-19 16:15:00+00:00,2025-02-20 04:15:00+00:00,0.5040471679242456,Win
1000.0,1.0,long,2747.78,2759.41,7885,7909,TP,2025-02-21 03:15:00+00:00,2025-02-21 09:15:00+00:00,0.30345616344043264,Win
1000.0,1.0,long,2771.1,2794.27,8084,8090,TP,2025-02-23 05:00:00+00:00,2025-02-23 06:30:00+00:00,0.3168909938078528,Win
1000.0,1.0,short,2469.69,2448.31,8398,8403,TP,2025-02-26 11:30:00+00:00,2025-02-26 12:45:00+00:00,0.4551655648691231,Win
1000.0,1.0,short,2262.0,2262.0,8549,8550,TP,2025-02-28 01:15:00+00:00,2025-02-28 01:30:00+00:00,0.7520026558278854,Win
1000.0,1.0,short,2252.49,2226.11,8664,8681,TP,2025-03-01 06:00:00+00:00,2025-03-01 10:15:00+00:00,0.5611013990711164,Win
-1000.0,-1.0,long,2252.19,2227.45,8774,8789,SL,2025-03-02 09:30:00+00:00,2025-03-02 13:15:00+00:00,0.44133885125058386,Loss
-1000.0,-1.0,long,2258.52,2222.26,9181,9188,SL,2025-03-06 15:15:00+00:00,2025-03-06 17:00:00+00:00,0.7948720850276947,Loss
-1000.0,-1.0,short,2130.76,2147.6,9344,9361,SL,2025-03-08 08:00:00+00:00,2025-03-08 12:15:00+00:00,0.42683135929476546,Loss
1000.0,1.0,short,1887.76,1875.42,9806,9825,TP,2025-03-13 03:30:00+00:00,2025-03-13 08:15:00+00:00,0.5626274582212926,Win
1000.0,1.0,long,1921.52,1935.85,9997,10050,TP,2025-03-15 03:15:00+00:00,2025-03-15 16:30:00+00:00,0.3532171378968081,Win
-1000.0,-1.0,long,1946.01,1929.92,10064,10085,SL,2025-03-15 20:00:00+00:00,2025-03-16 01:15:00+00:00,0.30885169676212837,Loss
599.1235070805042,0.5991235070805042,long,2030.87,2053.51,10427,10458,Signal,2025-03-19 14:45:00+00:00,2025-03-19 22:30:00+00:00,0.6598740247341335,Win
-1000.0,-1.0,long,2053.51,2021.4,10458,10485,SL,2025-03-19 22:30:00+00:00,2025-03-20 05:15:00+00:00,0.6202355909844548,Loss
1000.0,1.0,short,1976.89,1971.35,10572,10610,TP,2025-03-21 03:00:00+00:00,2025-03-21 12:30:00+00:00,0.37055372014510457,Win
-1000.0,-1.0,long,2092.42,2069.8,10917,10950,SL,2025-03-24 17:15:00+00:00,2025-03-25 01:30:00+00:00,0.4370677470806771,Loss
