Pnl_Dollar,Pnl_X,Direction,Entry_price,Exit_price,Entry_Idx,Exit_Idx,Exit_Reason,Entry_Time,Exit_Time,Entry_pct_atr,Result
-1000.0,-1.0,long,233.93,230.32,348,353,SL,2024-12-04 15:00:00+00:00,2024-12-04 16:15:00+00:00,0.7152094086821984,Loss
1000.0,1.0,long,237.29,241.79,421,432,TP,2024-12-05 09:15:00+00:00,2024-12-05 12:00:00+00:00,0.7877315320590014,Win
1000.0,1.0,long,236.17,238.68,537,634,TP,2024-12-06 14:15:00+00:00,2024-12-07 14:30:00+00:00,0.7693946024310144,Win
1000.0,1.0,short,226.4,221.73,829,850,TP,2024-12-09 15:15:00+00:00,2024-12-09 20:30:00+00:00,0.8247114554810857,Win
1000.0,1.0,short,215.2,212.41,912,915,TP,2024-12-10 12:00:00+00:00,2024-12-10 12:45:00+00:00,0.7207319989046882,Win
1000.0,1.0,long,229.14,231.4,1067,1078,TP,2024-12-12 02:45:00+00:00,2024-12-12 05:30:00+00:00,0.4418173755463101,Win
-1000.0,-1.0,long,232.48,230.02,1090,1100,SL,2024-12-12 08:30:00+00:00,2024-12-12 11:00:00+00:00,0.5200526523809017,Loss
1000.0,1.0,short,224.4,224.02,1204,1215,TP,2024-12-13 13:00:00+00:00,2024-12-13 15:45:00+00:00,0.42532808812936423,Win
1000.0,1.0,short,219.44,217.37,1359,1374,TP,2024-12-15 03:45:00+00:00,2024-12-15 07:30:00+00:00,0.4002682220589051,Win
1000.0,1.0,short,218.36,214.1,1517,1539,TP,2024-12-16 19:15:00+00:00,2024-12-17 00:45:00+00:00,0.6712960214763528,Win
1000.0,1.0,short,215.67,215.48,1687,1711,TP,2024-12-18 13:45:00+00:00,2024-12-18 19:45:00+00:00,0.5838046949364584,Win
1000.0,1.0,short,208.71,206.3,1763,1788,TP,2024-12-19 08:45:00+00:00,2024-12-19 15:00:00+00:00,0.6992221376241802,Win
1000.0,1.0,short,183.61,180.63,2072,2075,TP,2024-12-22 14:00:00+00:00,2024-12-22 14:45:00+00:00,0.713791690249888,Win
-1000.0,-1.0,short,178.84,182.55,2114,2125,SL,2024-12-23 00:30:00+00:00,2024-12-23 03:15:00+00:00,0.8842988373032266,Loss
1000.0,1.0,long,189.97,192.54,2223,2246,TP,2024-12-24 03:45:00+00:00,2024-12-24 09:30:00+00:00,0.6351949083435958,Win
1000.0,1.0,long,193.1,194.9,2254,2269,TP,2024-12-24 11:30:00+00:00,2024-12-24 15:15:00+00:00,0.5767074653485688,Win
1000.0,1.0,long,196.25,198.94,2294,2310,TP,2024-12-24 21:30:00+00:00,2024-12-25 01:30:00+00:00,0.6214746417819115,Win
-1000.0,-1.0,long,197.84,195.18,2360,2420,SL,2024-12-25 14:00:00+00:00,2024-12-26 05:00:00+00:00,0.5381768909802179,Loss
-1000.0,-1.0,short,184.72,187.19,2583,2640,SL,2024-12-27 21:45:00+00:00,2024-12-28 12:00:00+00:00,0.522000898440317,Loss
1000.0,1.0,long,194.46,196.3,2679,2716,TP,2024-12-28 21:45:00+00:00,2024-12-29 07:00:00+00:00,0.3840705588834004,Win
465.2630364641408,0.4652630364641408,long,208.09,209.54,3177,3201,Signal,2025-01-03 02:15:00+00:00,2025-01-03 08:15:00+00:00,0.4482675552424393,Win
1000.0,1.0,long,209.54,211.92,3201,3205,TP,2025-01-03 08:15:00+00:00,2025-01-03 09:15:00+00:00,0.49922575976648054,Win
1000.0,1.0,long,215.38,217.62,3225,3233,TP,2025-01-03 14:15:00+00:00,2025-01-03 16:15:00+00:00,0.5593237488854513,Win
1000.0,1.0,short,211.64,211.63,3611,3612,TP,2025-01-07 14:45:00+00:00,2025-01-07 15:00:00+00:00,0.4048440636637734,Win
-1000.0,-1.0,short,195.27,197.31,3694,3705,SL,2025-01-08 11:30:00+00:00,2025-01-08 14:15:00+00:00,0.5467231697907379,Loss
-1000.0,-1.0,short,188.77,191.48,3796,3807,SL,2025-01-09 13:00:00+00:00,2025-01-09 15:45:00+00:00,0.6616123131930276,Loss
1000.0,1.0,long,188.51,188.56,4127,4129,TP,2025-01-12 23:45:00+00:00,2025-01-13 00:15:00+00:00,0.4316267933100062,Win
1000.0,1.0,long,188.05,187.54,4279,4374,TP,2025-01-14 13:45:00+00:00,2025-01-15 13:30:00+00:00,0.57858462541255,Win
1000.0,1.0,long,220.71,224.81,4577,4621,TP,2025-01-17 16:15:00+00:00,2025-01-18 03:15:00+00:00,0.7827177856616007,Win
1000.0,1.0,long,258.21,259.53,5038,5045,TP,2025-01-22 11:30:00+00:00,2025-01-22 13:15:00+00:00,0.721653883512698,Win
-1000.0,-1.0,long,259.36,255.43,5390,5414,SL,2025-01-26 03:30:00+00:00,2025-01-26 09:30:00+00:00,0.5643245677807689,Loss
1000.0,1.0,short,231.85,228.57,5701,5716,TP,2025-01-29 09:15:00+00:00,2025-01-29 13:00:00+00:00,0.5339997778912161,Win
-1000.0,-1.0,long,240.77,237.09,5796,5857,SL,2025-01-30 09:00:00+00:00,2025-01-31 00:15:00+00:00,0.6061623304527334,Loss
-1000.0,-1.0,long,239.66,235.35,5917,5928,SL,2025-01-31 15:15:00+00:00,2025-01-31 18:00:00+00:00,0.6193920161014934,Loss
1000.0,1.0,short,230.97,227.49,5965,5995,TP,2025-02-01 03:15:00+00:00,2025-02-01 10:45:00+00:00,0.6104690545172696,Win
